;;;RESTAURANTE ITALOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;07/11/2025;
;;;155634853-2-2016 DV 22;;;;;;;;;;;;;;;;;;;;;;;;;;;Página 1 de 1;
;;;;LOS PUEBLOS LOCAL # 10 B;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Analisis de Ventas de Productos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;Desde;01/09/2025;;;;;;;;;;;Días;;67;;;%Sugerido;;;12.16;%Anterior;;4.60
;;;;;;;;;;;;;Hasta;;;07/11/2025;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.27;;;
;  Tipo: Productos  Ordenado Por: Ventas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Código;;;;Descripción;;;Cantidad;;Prom/Med;;;;;;;Estim/Med;;;;;;Total Ventas;;;Total Costos;;Total Utilidad;;% Util.
;;;;;AGUA;;;;;;;Promed/Medida;;;;;;;Estimado/Medida;;;;;;;;;;;;
;ACOMP03;;;;;;Domingo;;;160.00;;17.78;;;3253.33;;;;19.94;;3648.87;;;;B/.89.34;;B/.0.00;;B/.89.34;;100.00
;ACOMP03;;;;;;Lunes;;;113.00;;12.56;;;2297.67;;;;14.08;;2577.01;;;;B/.41.30;;B/.0.00;;B/.41.30;;100.00
;ACOMP03;;;;;;Martes;;;180.00;;20.00;;;3660.00;;;;22.43;;4104.98;;;;B/.44.79;;B/.0.00;;B/.44.79;;100.00
;ACOMP03;;;;;;Miércoles;;;211.00;;23.44;;;4290.33;;;;26.29;;4811.94;;;;B/.69.43;;B/.0.00;;B/.69.43;;100.00
;ACOMP03;;;;;;Jueves;;;167.00;;18.56;;;3395.67;;;;20.81;;3808.51;;;;B/.49.08;;B/.0.00;;B/.49.08;;100.00
;ACOMP03;;;;;;Viernes;;;185.00;;20.56;;;3761.67;;;;23.05;;4219.00;;;;B/.60.32;;B/.0.00;;B/.60.32;;100.00
;ACOMP03;;;;;;Sábado;;;191.00;;21.22;;;3883.67;;;;23.80;;4355.84;;;;B/.78.55;;B/.0.00;;B/.78.55;;100.00
;;;;;;;;;;1207.00;;;;;;;;;;;;;;B/.432.81;;;;;B/.432.81;;
;;;;;ENSALADA DE REPOLLO;;;;;;;Promed/Medida;;;;;;;Estimado/Medida;;;;;;;;;;;;
;ACOMP04;;;;;;Domingo;;;191.00;;21.22;;;4138.33;;;;23.80;;4641.46;;;;B/.49.22;;B/.0.00;;B/.49.22;;100.00
;ACOMP04;;;;;;Lunes;;;245.00;;27.22;;;5308.33;;;;30.53;;5953.71;;;;B/.54.39;;B/.0.00;;B/.54.39;;100.00
;ACOMP04;;;;;;Martes;;;357.00;;39.67;;;7735.00;;;;44.49;;8675.41;;;;B/.37.52;;B/.0.00;;B/.37.52;;100.00
;ACOMP04;;;;;;Miércoles;;;204.00;;22.67;;;4420.00;;;;25.42;;4957.38;;;;B/.40.74;;B/.0.00;;B/.40.74;;100.00
;ACOMP04;;;;;;Jueves;;;199.00;;22.11;;;4311.67;;;;24.80;;4835.87;;;;B/.33.51;;B/.0.00;;B/.33.51;;100.00
;ACOMP04;;;;;;Viernes;;;249.00;;27.67;;;5395.00;;;;31.03;;6050.91;;;;B/.29.24;;B/.0.00;;B/.29.24;;100.00
;ACOMP04;;;;;;Sábado;;;306.00;;34.00;;;6630.00;;;;38.13;;7436.06;;;;B/.55.36;;B/.0.00;;B/.55.36;;100.00
;;;;;;;;;;1751.00;;;;;;;;;;;;;;B/.299.98;;;;;B/.299.98;;
;;;;;ENSALADA CODITO;;;;;;;Promed/Medida;;;;;;;Estimado/Medida;;;;;;;;;;;;
;ACOMP05;;;;;;Domingo;;;495.00;;55.00;;;8800.00;;;;61.69;;9869.89;;;;B/.65.10;;B/.0.00;;B/.65.10;;100.00
;ACOMP05;;;;;;Lunes;;;408.00;;45.33;;;7253.33;;;;50.84;;8135.18;;;;B/.29.73;;B/.0.00;;B/.29.73;;100.00
;ACOMP05;;;;;;Martes;;;182.00;;20.22;;;3235.56;;;;22.68;;3628.93;;;;B/.47.47;;B/.0.00;;B/.47.47;;100.00
;ACOMP05;;;;;;Miércoles;;;199.00;;22.11;;;3537.78;;;;24.80;;3967.89;;;;B/.26.61;;B/.0.00;;B/.26.61;;100.00
;ACOMP05;;;;;;Jueves;;;469.00;;52.11;;;8337.78;;;;58.45;;9351.47;;;;B/.52.23;;B/.0.00;;B/.52.23;;100.00
;ACOMP05;;;;;;Viernes;;;500.00;;55.56;;;8888.89;;;;62.31;;9969.58;;;;B/.59.06;;B/.0.00;;B/.59.06;;100.00
;ACOMP05;;;;;;Sábado;;;556.00;;61.78;;;9884.44;;;;69.29;;11086.18;;;;B/.60.72;;B/.0.00;;B/.60.72;;100.00
;;;;;;;;;;2809.00;;;;;;;;;;;;;;B/.340.92;;;;;B/.340.92;;
;;;;;ENSALDA VEGETALES HERVIDOS;;;;;;;Promed/Medida;;;;;;;Estimado/Medida;;;;;;;;;;;;
;ACOMP06;;;;;;Lunes;;;6.00;;.67;;;;;;;.75;;;;;;B/.7.60;;B/.0.00;;B/.7.60;;100.00
;ACOMP06;;;;;;Martes;;;4.00;;.44;;;;;;;.50;;;;;;B/.3.90;;B/.0.00;;B/.3.90;;100.00
;ACOMP06;;;;;;Miércoles;;;2.00;;.22;;;;;;;.25;;;;;;B/.0.00;;B/.0.00;;B/.0.00;;0.00
;ACOMP06;;;;;;Viernes;;;3.00;;.33;;;;;;;.37;;;;;;B/.3.90;;B/.0.00;;B/.3.90;;100.00
;ACOMP06;;;;;;Sábado;;;1.00;;.11;;;;;;;.12;;;;;;B/.0.00;;B/.0.00;;B/.0.00;;0.00
;;;;;;;;;;16.00;;;;;;;;;;;;;;B/.15.40;;;;;B/.15.40;;
;;;;;LECHUGA Y TOMATE;;;;;;;Promed/Medida;;;;;;;Estimado/Medida;;;;;;;;;;;;
;ACOMP07;;;;;;Domingo;;;42.00;;4.67;;;466.67;;;;5.23;;523.40;;;;B/.21.44;;B/.0.00;;B/.21.44;;100.00
;ACOMP07;;;;;;Lunes;;;27.00;;3.00;;;300.00;;;;3.36;;336.47;;;;B/.9.75;;B/.0.00;;B/.9.75;;100.00
;ACOMP07;;;;;;Martes;;;91.00;;10.11;;;1011.11;;;;11.34;;1134.04;;;;B/.11.70;;B/.0.00;;B/.11.70;;100.00
;ACOMP07;;;;;;Miércoles;;;44.00;;4.89;;;488.89;;;;5.48;;548.33;;;;B/.14.13;;B/.0.00;;B/.14.13;;100.00
;ACOMP07;;;;;;Jueves;;;59.00;;6.56;;;655.56;;;;7.35;;735.26;;;;B/.21.44;;B/.0.00;;B/.21.44;;100.00
;ACOMP07;;;;;;Viernes;;;71.00;;7.89;;;788.89;;;;8.85;;884.80;;;;B/.27.67;;B/.0.00;;B/.27.67;;100.00
;ACOMP07;;;;;;Sábado;;;82.00;;9.11;;;911.11;;;;10.22;;1021.88;;;;B/.32.73;;B/.0.00;;B/.32.73;;100.00
;;;;;;;;;;416.00;;;;;;;;;;;;;;B/.138.86;;;;;B/.138.86;;
;;;;;ENSALADA DE PAPA;;;;;;;Promed/Medida;;;;;;;Estimado/Medida;;;;;;;;;;;;
;ACOMP08;;;;;;Miércoles;;;2.00;;.22;;;;;;;.25;;;;;;B/.0.00;;B/.0.00;;B/.0.00;;0.00
;ACOMP08;;;;;;Viernes;;;1.00;;.11;;;;;;;.12;;;;;;B/.0.00;;B/.0.00;;B/.0.00;;0.00
;ACOMP08;;;;;;Sábado;;;1.00;;.11;;;;;;;.12;;;;;;B/.0.00;;B/.0.00;;B/.0.00;;0.00
;;;;;;;;;;4.00;;;;;;;;;;;;;;B/.0.00;;;;;B/.0.00;;
;;;;;PAPA ASADA;;;;;;;Promed/Medida;;;;;;;Estimado/Medida;;;;;;;;;;;;
;ACOMP09;;;;;;Domingo;;;1.00;;.11;;;25.89;;;;.12;;29.04;;;;B/.0.00;;B/.0.00;;B/.0.00;;0.00
;ACOMP09;;;;;;Lunes;;;1.00;;.11;;;25.89;;;;.12;;29.04;;;;B/.0.00;;B/.0.00;;B/.0.00;;0.00
;ACOMP09;;;;;;Jueves;;;1.00;;.11;;;25.89;;;;.12;;29.04;;;;B/.0.00;;B/.0.00;;B/.0.00;;0.00
;;;;;;;;;;3.00;;;;;;;;;;;;;;B/.0.00;;;;;B/.0.00;;
;;;;;TAZA DE ARROZ;;;;;;;Promed/Medida;;;;;;;Estimado/Medida;;;;;;;;;;;;
;ACOMP10;;;;;;Domingo;;;769.00;;85.44;;;17088.89;;;;95.83;;19166.53;;;;B/.68.87;;B/.0.00;;B/.68.87;;100.00
